screen_date,candidate,modality_evidence,join_evidence,status,next_action,source
2026-09-07,A123 LFP multimodal electrochemical dataset,"Charge-discharge time series and EIS are published for 71 cells; CV, ICA and PITT are also present.","File names are organised by the same cell number across charge-discharge and EIS folders.",candidate_ready_for_file_manifest,"Download a small cell sample; record headers, units, test state and licence before adapter work.",https://github.com/huangjin-collab/A123-LFP-Battery-Multimodal-Electrochemical-Dataset
2026-09-07,Oxford multisine EIS dataset,"Raw current and voltage time series are published for multisine EIS signal-quality checks.","Operando signal context is expected but source files still need inspection.",reference_pending_file_check,"Inspect licence and file metadata; use only as an EIS quality reference until a TS/EIS join is proved.",https://ora.ox.ac.uk/objects/uuid%3A449dd462-0a37-45d0-88f9-832b84d27283
2026-09-07,Multi-SOC ageing with EIS,"Published record describes NMC/graphite ageing with periodic capacity and EIS measurements at multiple SOC values.","Join keys and raw-file schema are not yet confirmed.",candidate_pending_file_check,"Locate underlying record, inspect cell, cycle, SOC and temperature identifiers.",https://doi.org/10.1016/j.dib.2025.112282
2026-09-07,Pipeline robustness test set,"Machine-readable battery-data test files include varied cycler exports and intentional errors.","Not intended as a scientific TS/EIS validation match.",backend_test_reference,"Use later to exercise parsers and error handling after the first scientific adapter is stable.",https://zenodo.org/records/21337233
2026-09-08,LFP SOC EIS and sine-wave pulse dataset,"Repository publishes EIS and short-period sine-wave pulse data for commercial 26650 LFP cells.","SOC-estimation study provides a plausible state-level bridge; file headers and test-point identifiers still need inspection.",candidate_ready_for_file_manifest,"Inspect one EIS file and one sine-pulse file; record SOC, temperature, current convention, units and any cell/test key.",https://github.com/yizhaogao2025/LFP_battery_SOC_Dataset
2026-09-08,Degradation path indicators dataset,"48 commercial cells with raw ageing, pulse, pseudo-OCV, EIS, NFRA and published DRT peak outputs at beginning and end of life.","Cell-level zip structure and check-up labels indicate a promising ageing-oriented join, but exact EIS-to-cycle keys remain to be audited.",candidate_ready_for_file_manifest,"Read the data dictionary; make a cell-test manifest before using its published DRT peaks as a comparison reference.",https://zenodo.org/records/15755725
2026-09-08,Oxford multisine EIS dataset,"Raw current and voltage time series support independent checks of EIS linearity and stationarity; data are MATLAB files from one Samsung cell.","Useful for signal-quality and operando impedance reconstruction, not a multi-cell ageing benchmark.",method_reference,"Use as a quality-control benchmark after MAT ingestion is implemented.",https://ora.ox.ac.uk/objects/uuid%3A449dd462-0a37-45d0-88f9-832b84d27283
2026-09-08,DigiCell 54-cell EIS dataset,"54 NMC811-cell EIS CSV files at 30% SOC with machine-readable JSON-LD and a published CSVW schema.","No time-series pairing described; suitable as an EIS schema and DRT-input control.",eis_control_reference,"Map its CSV schema into the intake endpoint and compare structural reports across source formats.",https://zenodo.org/records/15422339
2026-09-08,Early-stage fast-charging ageing dataset,"Twelve Samsung INR18650-20R cells with raw cycling, characterisation, temperature and post-ageing EIS under four fast-charge protocols.","Cell, cycle, check-up, temperature and EIS identifiers must be audited from the published files.",candidate_ready_for_file_manifest,"Inspect metadata and the smallest raw sample; test whether an honest ageing-state TS-to-EIS join is possible.",https://data.mendeley.com/datasets/y328pbyvy4/1
2026-09-08,Online battery EIS prediction dataset,"Dynamic current and voltage profiles are described alongside EIS trajectories with frequency and real/imaginary impedance components.","The source describes correspondence, but stable profile identifiers after MAT conversion need verification.",candidate_ready_for_file_manifest,"Inspect one dynamic-profile and EIS pair; record MAT variable names, units and identifier linkage.",https://github.com/xtangai/iSCIENCE-D-23-00535
2026-09-08,Lithium-ion EIS dataset with fitting and degradation modes,"Eight Samsung INR18650-30Q cells with periodic capacity-fade and EIS check-ups during ageing.","Aging/check-up identifiers are described; direct time-series pairing still needs raw-file review.",ageing_eis_control,"Use as an ageing EIS control after documenting columns, units and check-up structure.",https://data.mendeley.com/datasets/g7ncmhrcrz/2
